Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,2,27,5,1540,1540,1905,1901,"CO",365,"N73406",145,141,117,4,0,"IAH","FLL",965,8,20,0,,0,0,0,0,0,0
2004,2,26,4,640,650,1216,1227,"CO",354,"N35204",216,217,192,-11,-10,"SMF","IAH",1609,14,10,0,,0,0,0,0,0,0
2004,2,5,4,808,815,1636,1628,"CO",1049,"N36247",328,313,296,8,-7,"SFO","EWR",2565,6,26,0,,0,0,0,0,0,0
2004,2,22,7,1845,1845,2217,2233,"CO",717,"N14840",152,168,131,-16,0,"MSY","EWR",1167,8,13,0,,0,0,0,0,0,0
2004,2,13,5,129,130,628,630,"CO",586,"N34137",179,180,157,-2,-1,"LAX","IAH",1379,6,16,0,,0,0,0,0,0,0
2004,2,13,5,1318,1319,1647,1655,"CO",1790,"N10834",149,156,124,-8,-1,"IAH","MIA",964,4,21,0,,0,0,0,0,0,0
2004,2,4,3,1721,1725,2015,2029,"CO",1426,"N37277",354,364,332,-14,-4,"EWR","SAN",2425,2,20,0,,0,0,0,0,0,0
2004,2,10,2,1607,1541,2116,2000,"CO",632,"N14662",249,199,158,76,26,"IAH","LGA",1416,7,84,0,,0,0,0,50,0,26
2004,2,28,6,738,740,1020,1038,"CO",1581,"N12225",342,358,320,-18,-2,"EWR","SEA",2401,3,19,0,,0,0,0,0,0,0
2004,2,27,5,1717,1708,1808,1810,"CO",616,"N76254",51,62,35,-2,9,"SAT","IAH",191,4,12,0,,0,0,0,0,0,0
2004,2,4,3,1533,1535,1850,1844,"CO",1601,"N13113",197,189,152,6,-2,"EWR","FLL",1065,4,41,0,,0,0,0,0,0,0
2004,2,24,2,2000,1910,2303,2213,"CO",638,"N14831",183,183,155,50,50,"EWR","MIA",1086,4,24,0,,0,0,0,0,0,50
2004,2,29,7,856,900,1150,1145,"CO",600,"N12109",174,165,147,5,-4,"FLL","EWR",1065,8,19,0,,0,0,0,0,0,0
2004,2,8,7,1047,1050,1429,1447,"CO",226,"N14230",162,177,140,-18,-3,"IAH","BWI",1235,6,16,0,,0,0,0,0,0,0
2004,2,1,7,1241,1240,1345,1342,"DH",7841,"N644BR",64,62,39,3,1,"IAD","ORF",157,3,22,0,,0,0,0,0,0,0
2004,2,3,2,1451,1459,1630,1625,"DH",7827,"N313UE",99,86,74,5,-8,"HPN","IAD",247,3,22,0,,0,0,0,0,0,0
2004,2,4,3,2219,2100,35,2336,"DH",7462,"N657BR",76,96,64,59,79,"ORD","TYS",475,3,9,0,,0,0,0,0,0,59
2004,2,4,3,730,740,917,910,"DH",7483,"N693BR",167,150,108,7,-10,"CHS","ORD",760,28,30,0,,0,0,0,0,0,0
2004,2,5,4,1203,1210,1447,1402,"DH",7627,"N703BR",224,172,155,45,-7,"PWM","ORD",900,46,22,0,,0,0,0,45,0,0
2004,2,6,5,1215,1200,1415,1357,"DH",7397,"N690BR",120,117,90,18,15,"ORD","TUL",585,8,22,0,,0,0,0,3,0,15
2004,2,9,1,1857,1735,1936,1805,"DH",7410,"N669BR",99,90,71,91,82,"LEX","ORD",323,6,22,0,,0,0,0,91,0,0
2004,2,9,1,1708,1710,1822,1829,"DH",7765,"N307UE",74,79,63,-7,-2,"IAD","GSO",239,3,7,0,,0,0,0,0,0,0
2004,2,10,2,1405,1340,1659,1645,"DH",7472,"N662BR",114,125,86,14,25,"ORD","CAE",666,4,24,0,,0,0,0,0,0,0
2004,2,11,3,610,615,737,745,"DH",6188,"N408FJ",87,90,69,-8,-5,"BOS","PHL",280,6,12,0,,0,0,0,0,0,0
2004,2,15,7,2145,2125,2247,2240,"DH",7325,"N678BR",62,75,50,7,20,"IAD","CLT",321,3,8,0,,0,0,0,0,0,0
2004,2,16,1,837,840,953,957,"DH",7299,"N640BR",76,77,40,-4,-3,"IAD","EWR",213,14,22,0,,0,0,0,0,0,0
2004,2,17,2,1447,1500,1718,1655,"DH",7389,"N697BR",151,115,98,23,-13,"ICT","ORD",588,36,17,0,,0,0,0,23,0,0
2004,2,18,3,837,830,1006,1009,"DH",6229,"N428FJ",89,99,79,-3,7,"CAE","CVG",404,4,5,0,,0,0,0,0,0,0
2004,2,19,4,1104,1055,1358,1352,"DH",7588,"N705BR",114,117,93,6,9,"ORD","ALB",723,9,12,0,,0,0,0,0,0,0
2004,2,22,7,1706,1700,1815,1800,"DH",7461,"N699BR",129,120,82,15,6,"TYS","ORD",475,20,27,0,,0,6,0,9,0,0
2004,2,22,7,1749,1750,1943,1945,"DH",7524,"N697BR",54,55,27,-2,-1,"ORD","FWA",157,3,24,0,,0,0,0,0,0,0
2004,2,23,1,2256,2255,2342,2355,"DH",6203,"N405FJ",46,60,32,-13,1,"CVG","TOL",181,2,12,0,,0,0,0,0,0,0
2004,2,23,1,2145,2145,2233,2243,"DH",6264,"N413FJ",48,58,37,-10,0,"CVG","SBN",203,2,9,0,,0,0,0,0,0,0
2004,2,25,3,1048,1050,1326,1345,"DH",7448,"N623BR",98,115,84,-19,-2,"ORD","CLT",599,2,11,0,,0,0,0,0,0,0
2004,2,27,5,1145,1145,1247,1245,"DH",6207,"N415FJ",62,60,43,2,0,"CVG","TRI",216,3,15,0,,0,0,0,0,0,0
2004,2,27,5,854,815,1051,1005,"DH",7489,"N691BR",57,50,25,46,39,"ORD","GRR",137,3,29,0,,0,0,0,7,0,39
2004,2,28,6,1037,1040,1133,1145,"DH",7871,"N324UE",56,65,43,-12,-3,"PHL","IAD",134,3,9,0,,0,0,0,0,0,0
2004,2,1,7,1610,1540,1729,1707,"DL",282,"N326DL",79,87,56,22,30,"ATL","CVG",373,8,15,0,,0,22,0,0,0,0
2004,2,2,1,1925,1806,2043,1923,"DL",2128,"N944DL",78,77,57,80,79,"CHS","ATL",259,13,8,0,,0,0,0,80,0,0
2004,2,2,1,1843,1839,2128,2115,"DL",2592,"N6710E",165,156,130,13,4,"PBI","LGA",1035,16,19,0,,0,0,0,0,0,0
2004,2,3,2,1423,1420,1624,1625,"DL",417,"N832MH",121,125,89,-1,3,"FLL","ATL",581,10,22,0,,0,0,0,0,0,0
2004,2,3,2,1540,1550,1818,1828,"DL",426,"N390DA",98,98,74,-10,-10,"ABQ","DFW",569,9,15,0,,0,0,0,0,0,0
2004,2,3,2,1535,1500,1813,1743,"DL",1025,"N309WA",98,103,84,30,35,"SFO","SLC",599,5,9,0,,0,0,0,0,0,30
2004,2,3,2,1720,1720,1748,1740,"DL",1501,"N909DE",88,80,55,8,0,"ATL","MEM",332,4,29,0,,0,0,0,0,0,0
2004,2,5,4,846,835,1102,1029,"DL",975,"N660DL",136,114,111,33,11,"ORF","ATL",516,9,16,0,,0,0,0,33,0,0
2004,2,5,4,755,800,933,934,"DL",1044,"N375DA",98,94,71,-1,-5,"ATL","IAD",533,11,16,0,,0,0,0,0,0,0
2004,2,5,4,1106,1110,1237,1252,"DL",1618,"N236WA",91,102,71,-15,-4,"ATL","CLE",554,7,13,0,,0,0,0,0,0,0
2004,2,5,4,953,955,1142,1151,"DL",2137,"N907DA",229,236,200,-9,-2,"DFW","SFO",1464,6,23,0,,0,0,0,0,0,0
2004,2,6,5,1354,1310,1504,1426,"DL",223,"N109DL",190,196,170,38,44,"ATL","DEN",1199,8,12,0,,0,0,0,38,0,0
2004,2,6,5,1250,1204,1513,1424,"DL",358,"N750AT",83,80,60,49,46,"MSY","ATL",425,11,12,0,,0,0,0,49,0,0
2004,2,6,5,1043,1045,1749,1750,"DL",810,"N658DL",246,245,224,-1,-2,"LAX","CVG",1900,6,16,0,,0,0,0,0,0,0
2004,2,6,5,1650,1650,1930,1937,"DL",1619,"N2310",100,107,84,-7,0,"SJC","SLC",585,4,12,0,,0,0,0,0,0,0
2004,2,6,5,840,845,925,937,"DL",1675,"N386DA",105,112,79,-12,-5,"SLC","SNA",588,5,21,0,,0,0,0,0,0,0
2004,2,7,6,843,843,1025,1027,"DL",283,"N931DL",102,104,74,-2,0,"ATL","PBI",545,6,22,0,,0,0,0,0,0,0
2004,2,7,6,624,635,1059,1125,"DL",320,"N679DA",155,170,132,-26,-11,"DEN","ATL",1199,6,17,0,,0,0,0,0,0,0
2004,2,7,6,2225,2025,21,2207,"DL",485,"N306DL",176,162,152,134,120,"ATL","SAT",874,5,19,0,,0,0,0,14,0,120
2004,2,8,7,524,525,704,712,"DL",374,"N826MH",100,107,81,-8,-1,"FLL","ATL",581,5,14,0,,0,0,0,0,0,0
2004,2,8,7,1911,1920,2111,2109,"DL",439,"N327DL",120,109,90,2,-9,"RIC","ATL",481,12,18,0,,0,0,0,0,0,0
2004,2,8,7,1901,1905,2100,2108,"DL",1448,"N961DL",119,123,99,-8,-4,"BWI","ATL",576,8,12,0,,0,0,0,0,0,0
2004,2,8,7,1202,1205,1344,1354,"DL",2171,"N972DL",102,109,85,-10,-3,"DCA","ATL",547,6,11,0,,0,0,0,0,0,0
2004,2,9,1,1914,1915,2119,2121,"DL",734,"N617DL",125,126,96,-2,-1,"CVG","MCO",756,5,24,0,,0,0,0,0,0,0
2004,2,9,1,1533,1540,1732,1750,"DL",1440,"N902DE",59,70,42,-18,-7,"PNS","ATL",272,7,10,0,,0,0,0,0,0,0
2004,2,9,1,2027,2030,2139,2133,"DL",1849,"N225DL",72,63,54,6,-3,"BOS","LGA",185,3,15,0,,0,0,0,0,0,0
2004,3,8,1,1325,1330,1538,1552,"UA",428,"N399UA",133,142,112,-14,-5,"LAX","PDX",834,2,19,0,,0,0,0,0,0,0
2004,3,28,7,932,934,1148,1145,"UA",442,"N324UA",76,71,53,3,-2,"ORD","DTW",235,4,19,0,,0,0,0,0,0,0
2004,3,7,7,905,910,1038,1044,"UA",455,"N388UA",153,154,135,-6,-5,"MHT","ORD",843,7,11,0,,0,0,0,0,0,0
2004,3,20,6,1100,1055,1650,1637,"UA",456,"N824UA",230,222,205,13,5,"SFO","IAH",1635,5,20,0,,0,0,0,0,0,0
2004,3,20,6,1000,1005,1539,1548,"UA",458,"N448UA",219,223,204,-9,-5,"DEN","MIA",1709,6,9,0,,0,0,0,0,0,0
2004,3,8,1,554,600,750,804,"UA",482,"N415UA",116,124,101,-14,-6,"MCO","IAD",758,3,12,0,,0,0,0,0,0,0
2004,3,17,3,1103,1105,1228,1236,"UA",501,"N374UA",85,91,70,-8,-2,"SFO","SAN",447,3,12,0,,0,0,0,0,0,0
2004,3,25,4,1013,1015,1502,1509,"UA",510,"N943UA",169,174,148,-7,-2,"DEN","ATL",1199,10,11,0,,0,0,0,0,0,0
2004,3,27,6,1711,1720,1907,1844,"UA",515,"N466UA",176,144,110,23,-9,"ALB","ORD",723,23,43,0,,0,0,0,23,0,0
2004,3,18,4,1410,1345,1644,1629,"UA",522,"N941UA",94,104,69,15,25,"ORD","MDT",594,4,21,0,,0,0,0,0,0,15
2004,3,5,5,1058,1044,1217,1206,"UA",529,"N838UA",79,82,58,11,14,"ORD","MSP",334,5,16,0,,0,0,0,0,0,0
2004,3,4,4,835,840,1452,1443,"UA",620,"N420UA",257,243,235,9,-5,"SJC","ORD",1829,8,14,0,,0,0,0,0,0,0
2004,3,15,1,1227,1230,1441,1503,"UA",675,"N806UA",254,273,238,-22,-3,"ORD","SMF",1781,3,13,0,,0,0,0,0,0,0
2004,3,7,7,956,1000,1250,1301,"UA",676,"N342UA",114,121,89,-11,-4,"ORD","LGA",733,6,19,0,,0,0,0,0,0,0
2004,3,2,2,1508,1511,1600,1610,"UA",691,"N327UA",112,119,95,-10,-3,"DFW","DEN",641,6,11,0,,0,0,0,0,0,0
2004,3,31,3,1246,1250,1415,1416,"UA",702,"N908UA",89,86,66,-1,-4,"IAD","BOS",413,7,16,0,,0,0,0,0,0,0
2004,3,28,7,1928,1753,2156,2015,"UA",762,"N852UA",148,142,104,101,95,"DFW","ORD",802,4,40,0,,0,0,0,101,0,0
2004,3,14,7,1313,1314,1515,1522,"UA",772,"N918UA",62,68,45,-7,-1,"ORD","CVG",264,5,12,0,,0,0,0,0,0,0
2004,3,12,5,707,712,801,812,"UA",809,"N947UA",114,120,101,-11,-5,"GSO","ORD",590,4,9,0,,0,0,0,0,0,0
2004,3,29,1,1212,1220,1340,1356,"UA",825,"N952UA",148,156,120,-16,-8,"MHT","ORD",843,14,14,0,,0,0,0,0,0,0
2004,3,21,7,1403,1400,1748,1717,"UA",896,"N525UA",165,137,91,31,3,"ORD","EWR",719,11,63,0,,0,0,0,31,0,0
2004,3,17,3,727,730,1036,1037,"UA",1036,"N954UA",129,127,107,-1,-3,"ORD","PVD",849,4,18,0,,0,0,0,0,0,0
2004,3,14,7,929,935,1100,1108,"UA",1071,"N341UA",151,153,133,-8,-6,"BDL","ORD",783,4,14,0,,0,0,0,0,0,0
2004,3,16,2,1647,1653,2009,2014,"UA",1078,"N336UA",142,141,129,-5,-6,"OAK","DEN",957,5,8,0,,0,0,0,0,0,0
2004,3,22,1,1558,1600,1808,1819,"UA",1092,"N341UA",130,139,112,-11,-2,"LAX","PDX",834,2,16,0,,0,0,0,0,0,0
2004,3,25,4,1635,1530,1700,1558,"UA",1115,"N309UA",85,88,62,62,65,"CMH","ORD",296,5,18,0,,0,0,0,62,0,0
2004,3,14,7,701,710,750,750,"UA",1117,"N380UA",109,100,88,0,-9,"MCI","DEN",533,9,12,0,,0,0,0,0,0,0
2004,3,20,6,1908,1850,2241,2222,"UA",1126,"N516UA",153,152,125,19,18,"ORD","TPA",1012,5,23,0,,0,13,0,1,0,5
2004,3,31,3,805,810,1127,1135,"UA",1220,"N915UA",142,145,125,-8,-5,"OAK","DEN",957,5,12,0,,0,0,0,0,0,0
2004,3,7,7,714,715,1038,1046,"UA",1222,"N533UA",144,151,128,-8,-1,"ORD","TPA",1012,4,12,0,,0,0,0,0,0,0
2004,3,17,3,1327,1330,1604,1546,"UA",1230,"N377UA",97,76,53,18,-3,"ORD","DTW",235,7,37,0,,0,0,0,18,0,0
2004,3,18,4,1829,1818,1859,1907,"UA",1255,"N317UA",150,169,134,-8,11,"IND","DEN",977,6,10,0,,0,0,0,0,0,0
2004,3,25,4,1222,1225,1735,1735,"UA",1260,"N778UA",193,190,164,0,-3,"DEN","IAD",1452,18,11,0,,0,0,0,0,0,0
2004,3,26,5,1445,1349,1625,1513,"UA",1269,"N323UA",160,144,119,72,56,"DEN","LAX",862,4,37,0,,0,32,0,16,0,24
2004,3,29,1,1121,1100,1230,1222,"UA",1272,"N932UA",69,82,56,8,21,"MSP","ORD",334,4,9,0,,0,0,0,0,0,0
2004,3,30,2,1103,1110,1403,1408,"UA",1280,"N922UA",120,118,104,-5,-7,"DEN","STL",770,2,14,0,,0,0,0,0,0,0
2004,3,1,1,1650,1659,1800,1814,"UA",1298,"N307UA",70,75,54,-14,-9,"IAD","BDL",326,3,13,0,,0,0,0,0,0,0
2004,3,10,3,609,614,842,859,"UA",1402,"N490UA",93,105,81,-17,-5,"LAS","DEN",629,3,9,0,,0,0,0,0,0,0
2004,3,5,5,941,943,1233,1230,"UA",1406,"N490UA",112,107,86,3,-2,"LAS","DEN",629,7,19,0,,0,0,0,0,0,0
2004,3,20,6,1827,1830,1915,1920,"UA",1419,"N441UA",108,110,85,-5,-3,"DEN","LAS",629,10,13,0,,0,0,0,0,0,0
2004,3,23,2,1613,1615,1734,1729,"US",814,"N418US",81,74,65,5,-2,"PIT","ALB",367,4,12,0,,0,0,0,0,0,0
2004,3,17,3,758,800,957,939,"US",930,"N768UW",119,99,77,18,-2,"PIT","BOS",496,15,27,0,,0,0,0,18,0,0
2004,3,6,6,1619,1430,1740,1548,"US",1215,"N588US",81,78,46,112,109,"PHL","BOS",280,4,31,0,,0,54,0,3,0,55
2004,3,17,3,2209,2215,2339,2331,"US",1484,"N628AU",90,76,45,8,-6,"PHL","BOS",280,12,33,0,,0,0,0,0,0,0
2004,3,15,1,1841,1830,1954,1954,"US",2044,"N574US",73,84,61,0,11,"DCA","BOS",399,2,10,0,,0,0,0,0,0,0
2004,3,4,4,1948,1950,2115,2112,"US",964,"N300AU",87,82,62,3,-2,"PHL","BTV",336,6,19,0,,0,0,0,0,0,0
2004,3,27,6,1946,1950,2023,2044,"US",1119,"N356US",37,54,26,-21,-4,"CLT","CHS",168,3,8,0,,0,0,0,0,0,0
2004,3,13,6,1850,1855,2047,2056,"US",102,"N617AU",117,121,96,-9,-5,"MIA","CLT",650,4,17,0,,0,0,0,0,0,0
2004,3,17,3,710,715,900,920,"US",488,"N374US",110,125,93,-20,-5,"MIA","CLT",650,3,14,0,,0,0,0,0,0,0
2004,3,21,7,1529,1530,1607,1621,"US",153,"N371US",38,51,28,-14,-1,"PHL","DCA",119,2,8,0,,0,0,0,0,0,0
2004,3,15,1,1743,1740,1952,2000,"US",783,"N736UW",129,140,111,-8,3,"PHL","JAX",742,4,14,0,,0,0,0,0,0,0
2004,3,26,5,1056,1100,1204,1206,"US",2168,"N745UW",68,66,50,-2,-4,"DCA","LGA",214,8,10,0,,0,0,0,0,0,0
2004,3,16,2,1324,1315,1612,1532,"US",158,"N178UW",168,137,122,40,9,"PIT","MCO",834,8,38,0,,0,0,0,31,0,9
2004,3,31,3,2050,2020,2225,2157,"US",1448,"N650US",95,97,69,28,30,"CLT","MCO",468,6,20,0,,0,19,0,0,0,9
2004,3,20,6,1343,1330,1453,1445,"US",493,"N373US",70,75,50,8,13,"PHL","MHT",290,3,17,0,,0,0,0,0,0,0
2004,3,29,1,1404,1410,1541,1604,"US",744,"N524AU",157,174,138,-23,-6,"DCA","MSY",969,5,14,0,,0,0,0,0,0,0
2004,3,7,7,1719,1555,1940,1724,"US",574,"N424US",201,149,160,136,84,"PHL","ORD",678,4,37,0,,0,0,0,136,0,0
2004,3,6,6,1035,1040,1318,1300,"US",244,"N436US",163,140,143,18,-5,"MCO","PHL",861,3,17,0,,0,0,0,18,0,0
2004,3,22,1,1431,1440,1759,1808,"US",1066,"N533AU",148,148,133,-9,-9,"MCI","PHL",1038,7,8,0,,0,0,0,0,0,0
2004,3,8,1,921,930,1032,1102,"US",1069,"N426US",71,92,57,-30,-9,"BOS","PHL",280,3,11,0,,0,0,0,0,0,0
2004,3,22,1,638,645,807,810,"US",1,"N163UW",89,85,63,-3,-7,"LGA","PIT",335,4,22,0,,0,0,0,0,0,0
2004,3,5,5,638,640,813,823,"US",155,"N161UW",95,103,77,-10,-2,"PVD","PIT",467,7,11,0,,0,0,0,0,0,0
2004,3,22,1,1120,1125,1456,1510,"US",734,"N741UW",156,165,136,-14,-5,"IAH","PIT",1117,5,15,0,,0,0,0,0,0,0
2004,3,27,6,629,630,742,757,"US",861,"N443US",73,87,58,-15,-1,"ALB","PIT",367,5,10,0,,0,0,0,0,0,0
2004,3,9,2,1056,1100,1225,1221,"US",1076,"N115UW",89,81,59,4,-4,"CLT","PIT",366,7,23,0,,0,0,0,0,0,0
2004,3,14,7,1855,1850,2135,2127,"US",1204,"N448US",160,157,135,8,5,"FLL","PIT",994,4,21,0,,0,0,0,0,0,0
2004,3,16,2,1726,1705,1831,1818,"US",832,"N762UW",65,73,51,13,21,"DCA","PVD",357,5,9,0,,0,0,0,0,0,0
2004,3,1,1,811,815,953,1002,"US",886,"N124UW",102,107,90,-9,-4,"CLT","PVD",683,3,9,0,,0,0,0,0,0,0
2004,3,16,2,2216,1945,2326,2056,"US",355,"N118UW",70,71,42,150,151,"PHL","ROC",257,14,14,0,,0,54,0,0,0,96
2004,3,21,7,2207,2210,2258,2309,"US",450,"N522AU",51,59,37,-11,-3,"PIT","ROC",224,2,12,0,,0,0,0,0,0,0
2004,3,13,6,1412,1415,1550,1555,"US",553,"N418US",98,100,82,-5,-3,"CLT","TPA",508,4,12,0,,0,0,0,0,0,0
2004,3,1,1,2005,1945,111,105,"WN",689,"N446",186,200,169,6,20,"LAS","MDW",1521,4,13,0,,0,0,0,0,0,0
2004,3,2,2,1345,1345,1438,1435,"WN",2661,"N504",53,50,42,3,0,"DAL","AUS",189,3,8,0,,0,0,0,0,0,0
2004,3,2,2,1850,1850,2020,2035,"WN",557,"N707SA",210,225,200,-15,0,"MCI","SMF",1442,5,5,0,,0,0,0,0,0,0
2004,3,2,2,1935,1935,2030,2045,"WN",2880,"N639SW",55,70,47,-15,0,"STL","MCI",237,2,6,0,,0,0,0,0,0,0
2004,3,2,2,1930,1930,2140,2145,"WN",775,"N362",130,135,115,-5,0,"TPA","CMH",829,5,10,0,,0,0,0,0,0,0
2004,3,2,2,730,730,832,835,"WN",2574,"N671SW",62,65,49,-3,0,"TUL","STL",351,3,10,0,,0,0,0,0,0,0
2004,3,3,3,1715,1715,1820,1820,"WN",1816,"N349",65,65,52,0,0,"LAX","SJC",308,3,10,0,,0,0,0,0,0,0
2004,3,4,4,1505,1505,1608,1610,"WN",631,"N352",63,65,53,-2,0,"LAX","SJC",308,3,7,0,,0,0,0,0,0,0
2004,3,4,4,1530,1530,1717,1635,"WN",1841,"N686SW",107,65,47,42,0,"PHX","ELP",347,5,55,0,,0,0,0,42,0,0
2004,3,5,5,905,905,909,915,"WN",181,"N663SW",64,70,50,-6,0,"DTW","MDW",229,4,10,0,,0,0,0,0,0,0
2004,3,6,6,1850,1800,1950,1905,"WN",750,"N323",60,65,45,45,50,"PHX","ABQ",328,5,10,0,,0,45,0,0,0,0
2004,3,6,6,1410,1410,1540,1540,"WN",1023,"N319",90,90,75,0,0,"TUL","HOU",453,5,10,0,,0,0,0,0,0,0
2004,3,7,7,1910,1910,2108,2105,"WN",1036,"N744SW",178,175,154,3,0,"BWI","MSY",998,2,22,0,,0,0,0,0,0,0
2004,3,7,7,2000,1950,2101,2040,"WN",1024,"N325",61,50,43,21,10,"ORF","BWI",159,8,10,0,,0,0,0,11,0,10
2004,3,7,7,1320,1320,1519,1520,"WN",147,"N329SW",119,120,101,-1,0,"SEA","OAK",671,4,14,0,,0,0,0,0,0,0
2004,3,8,1,900,900,1150,1150,"WN",2574,"N358",110,110,94,0,0,"STL","BWI",737,6,10,0,,0,0,0,0,0,0
2004,3,9,2,,2110,,2210,"WN",745,"0",,60,,,,"LAX","LAS",236,0,0,1,"A",0,0,0,0,0,0
2004,3,9,2,1300,1300,1302,1305,"WN",149,"N703SW",62,65,50,-3,0,"PHX","SAN",304,2,10,0,,0,0,0,0,0,0
2004,3,9,2,700,700,700,705,"WN",177,"N364",60,65,48,-5,0,"SDF","MDW",271,2,10,0,,0,0,0,0,0,0
2004,3,9,2,1915,1915,2022,2025,"WN",1066,"N507",67,70,50,-3,0,"SJC","ONT",333,2,15,0,,0,0,0,0,0,0
2004,3,11,4,1555,1555,1645,1645,"WN",474,"N739",110,110,90,0,0,"MCO","MSY",550,15,5,0,,0,0,0,0,0,0
2004,3,12,5,2015,1950,2228,2205,"WN",324,"N355",73,75,65,23,25,"BNA","RDU",443,3,5,0,,0,23,0,0,0,0
2004,3,12,5,815,815,1025,1020,"WN",1615,"N693SW",70,65,50,5,0,"LAS","PHX",256,5,15,0,,0,0,0,0,0,0
2004,3,12,5,1305,1305,1338,1325,"WN",2052,"N784",93,80,65,13,0,"PHX","SNA",338,3,25,0,,0,0,0,0,0,0
2004,3,12,5,1250,1250,1411,1420,"WN",2272,"N306SW",141,150,134,-9,0,"TPA","STL",869,3,4,0,,0,0,0,0,0,0
2004,3,13,6,1815,1815,1923,1930,"WN",1457,"N616SW",68,75,59,-7,0,"SJC","SAN",417,3,6,0,,0,0,0,0,0,0
2004,3,13,6,1633,1605,1758,1730,"WN",130,"N709SW",85,85,75,28,28,"SMF","PDX",479,3,7,0,,0,0,0,0,0,28
2004,3,13,6,655,655,755,755,"WN",1174,"N342",60,60,45,0,0,"STL","MCI",237,5,10,0,,0,0,0,0,0,0
2004,3,14,7,811,750,915,900,"WN",2675,"N513",64,70,52,15,21,"BUR","OAK",325,4,8,0,,0,0,0,0,0,15
2004,3,14,7,1835,1835,1948,1945,"WN",1450,"N703SW",73,70,60,3,0,"ISP","BWI",220,3,10,0,,0,0,0,0,0,0
2004,3,15,1,1820,1820,1930,1930,"WN",596,"N316SW",70,70,52,0,0,"BDL","BWI",283,10,8,0,,0,0,0,0,0,0
2004,3,15,1,655,655,753,800,"WN",400,"N748SW",58,65,47,-7,0,"BWI","PVD",328,3,8,0,,0,0,0,0,0,0
